path,fileNameBase,f3_param,medianKernelSize,removeBelowThisPercent,removeSmallerThan,analysisDate,analysisTime,channel,tiffHeader,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,firstSlice,lastSlice,zFinalPixel,xFinalPixel,yFinalPixel,saveBase,algorithm,gaussianKernelSize,thresholdAlgorithm
,20200720__A01_G001_0011_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:46:53,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0011_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0011_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0011_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0012_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:46:53,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0012_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0012_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0012_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0013_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:15,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0013_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0013_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0013_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0014_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:15,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0014_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0014_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0014_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0015_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:15,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0015_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0015_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0015_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0016_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:16,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0016_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0016_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0016_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0017_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:16,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0017_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0017_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0017_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0018_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:16,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0018_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0018_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0018_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0019_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:36,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0019_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0019_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0019_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0020_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:37,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0020_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0020_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0020_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0021_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:38,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0021_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0021_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0021_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0022_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:38,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0022_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0022_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0022_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0023_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:38,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0023_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0023_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0023_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0024_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:38,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0024_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0024_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0024_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0025_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:55,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0025_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0025_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0025_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0026_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:58,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0026_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0026_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0026_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0027_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:58,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0027_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0027_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0027_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0028_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:59,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0028_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0028_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0028_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0029_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:47:59,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0029_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0029_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0029_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
,20200720__A01_G001_0030_ch1,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.1,400,20200817,09:48:00,1,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200720'), ('filename', '20200720__A01_G001_0030_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 96), ('path', '/Users/cudmore/data/20200720/20200720__A01_G001_0030_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,96,800,800,,,96,740,740,/Users/cudmore/data/20200720/aicsAnalysis/20200720__A01_G001_0030_ch1,cellDen,"(1, 1, 1)",threshold_remove_lower_percent
