index,uFilename,uFirstSlice,uLastSlice,uAlgorithm,folder1,folder2,folder3,analysisDate,analysisTime,algorithm,channel,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,zFinalPixel,xFinalPixel,yFinalPixel,upDownSlices,medianKernelSize,thresholdAlgorithm,thresholdScale,removeSmallerThan,origNumLabels,dilateFinalMaskIterations,tiffHeader,saveBase,path,thresholdPercent
28,20200518__A01_G001_0007,20.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,20200518__A01_G001_0008,18.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,20200518__A01_G001_0008_ch1.tif,,,,,,,20200525.0,15:23:40,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,27.0,512.0,512.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0008_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0008_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0008_ch1,,
31,20200518__A01_G001_0008_ch2.tif,,,,,,,20200525.0,15:09:30,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,27.0,512.0,512.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,365.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0008_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0008_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0008_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0008_ch2.tif,
32,20200518__A01_G001_0009,24.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,20200518__A01_G001_0009_ch1.tif,,,,,,,20200525.0,15:23:46,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,20.0,512.0,512.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0009_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0009_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0009_ch1,,
34,20200518__A01_G001_0009_ch2.tif,,,,,,,20200525.0,15:09:42,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,20.0,512.0,512.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,136.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0009_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0009_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0009_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0009_ch2.tif,
35,20200518__A01_G001_0010,22.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20200518__A01_G001_0010_ch1.tif,,,,,,,20200525.0,15:23:50,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,25.0,512.0,512.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0010_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0010_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0010_ch1,,
37,20200518__A01_G001_0010_ch2.tif,,,,,,,20200525.0,15:09:50,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,25.0,512.0,512.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,276.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0010_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0010_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0010_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0010_ch2.tif,
38,20200518__A01_G001_0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20200518__A01_G001_0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,20200518__A01_G001_0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,20200518__A01_G001_0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,20200518__A01_G001_0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,20200518__A01_G001_0016,17.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,20200518__A01_G001_0016_ch1.tif,,,,,,,20200525.0,15:27:21,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,23.0,512.0,512.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0016_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0016_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0016_ch1,,
45,20200518__A01_G001_0016_ch2.tif,,,,,,,20200525,15:28:22,vascDen,2,1,0.6214808646041788,0.6214808646041788,64,512,512,23,512,512,1,"(3, 5, 5)",threshold_otsu,,80,116,2,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0016_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0016_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0016_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0016_ch2.tif,
46,20200518__A01_G001_0017,14.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,20200518__A01_G001_0017_ch1.tif,,,,,,,20200525.0,15:24:02,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,35.0,512.0,512.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0017_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0017_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0017_ch1,,
48,20200518__A01_G001_0017_ch2.tif,,,,,,,20200525.0,15:10:11,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,35.0,512.0,512.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,426.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0017_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0017_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0017_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0017_ch2.tif,
49,20200518__A01_G001_0018,15.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20200518__A01_G001_0018_ch1.tif,,,,,,,20200525.0,15:24:10,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,27.0,512.0,512.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0018_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0018_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0018_ch1,,
51,20200518__A01_G001_0018_ch2.tif,,,,,,,20200525.0,15:10:26,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,27.0,512.0,512.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,321.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0018_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0018_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0018_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0018_ch2.tif,
52,20200518__A01_G001_0019,16.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
