index,uFilename,uInclude,uFirstSlice,uLastSlice,uAlgorithm,analysisDate,analysisTime,algorithm,channel,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,zFinalPixel,xFinalPixel,yFinalPixel,upDownSlices,medianKernelSize,thresholdAlgorithm,thresholdPercent,removeSmallerThan,origNumLabels,dilateFinalMaskIterations,tiffHeader,saveBase,path,firstSlice,lastSlice,saveBase2
73,20200518__A01_G001_0039_ch2.tif,,,,,20200528.0,12:30:50,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,32.0,474.0,474.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,396.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0039_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0039_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0039_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0039_ch2.tif,13.0,44.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0039_ch2
74,20200518__A01_G001_0039_ch1.tif,,,,,20200528.0,13:10:24,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,32.0,474.0,474.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0039_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0039_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0039_ch1,,13.0,44.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0039_ch1
75,20200518__A01_G001_0040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20200518__A01_G001_0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,20200518__A01_G001_0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20200518__A01_G001_0043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20200518__A01_G001_0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20200518__A01_G001_0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,20200518__A01_G001_0046,1.0,7.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,20200518__A01_G001_0046_ch2.tif,,,,,20200528.0,12:31:04,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,36.0,474.0,474.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,192.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0046_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0046_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0046_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0046_ch2.tif,7.0,42.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0046_ch2
83,20200518__A01_G001_0046_ch1.tif,,,,,20200528.0,13:10:30,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,36.0,474.0,474.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0046_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0046_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0046_ch1,,7.0,42.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0046_ch1
84,20200518__A01_G001_0047,1.0,7.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,20200518__A01_G001_0047_ch2.tif,,,,,20200528.0,12:31:15,vascDen,2.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,36.0,474.0,474.0,1.0,"(3, 5, 5)",threshold_otsu,,80.0,159.0,2.0,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0047_ch2.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0047_ch2.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0047_ch2,/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0047_ch2.tif,7.0,42.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0047_ch2
86,20200518__A01_G001_0047_ch1.tif,,,,,20200528.0,13:10:38,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,36.0,474.0,474.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0047_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0047_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0047_ch1,,7.0,42.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0047_ch1
87,20200518__A01_G001_0048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,20200518__A01_G001_0003_ch1.tif,,,,,20200528.0,13:08:47,cellDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,36.0,474.0,474.0,,"(3, 5, 5)",threshold_otsu,,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0003_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0003_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0003_ch1,,13.0,48.0,/Users/cudmore/box/data/nathan/20200518/analysis_full/20200518__A01_G001_0003_ch1
