,path,SAN,headMidTail,zPixels,xPixels,yPixels,zVoxel,xVoxel,yVoxel,maskStart,maskStop,numGoodSlices,totalNumPixels,numPixelsInMask,maskRatio,maskPercent,totalVolume,vPixelsInMask,vMaskRatio,vMaskPercent
10,/media/cudmore/data1/san-density/SAN4/SAN4_mid/aicsAnalysis/SAN4_mid_ch2.tif,SAN4,mid,104,1184,1184,1,0.497184691683343,0.497184691683343,69,88,20,28037120,6927837,0.247095172400018,24.7095172400018,6930569.08400626,1712510.16264276,0.247095172400018,24.7095172400018
11,/media/cudmore/data1/san-density/SAN4/SAN4_tail/aicsAnalysis/SAN4_tail_ch2.tif,SAN4,tail,86,1184,1184,1,0.497184691683343,0.497184691683343,27,43,17,23831552,3455968,0.145016489064581,14.5016489064581,5890983.72140532,854289.776414801,0.145016489064581,14.5016489064581
12,/media/cudmore/data1/san-density/SAN7/SAN7_head/aicsAnalysis/20201202__0001_ch2.tif,SAN7,head,101,800,800,0.45,0.397747634694253,0.397747634694253,18,50,33,21120000,4370662,0.206944223484848,20.6944223484848,1503563.03131992,311153.683977025,0.206944223484848,20.6944223484848
13,/media/cudmore/data1/san-density/SAN7/SAN7_head/aicsAnalysis/20201202__0002_ch2.tif,,,130,800,800,0.45,0.397747634694253,0.397747634694253,15,47,33,21120000,2381344,0.11275303030303,11.275303030303,1503563.03131992,169531.288032931,0.11275303030303,11.275303030303
14,/media/cudmore/data1/san-density/SAN7/SAN7_mid/aicsAnalysis/20201202__0008_ch2.tif,SAN7,mid,59,800,800,0.45,0.397747634694253,0.397747634694253,15,39,25,16000000,2678922,0.167432625,16.7432625,1139062.90251509,190716.29180822,0.167432625,16.7432625
15,/media/cudmore/data1/san-density/SAN7/SAN7_mid/aicsAnalysis/20201202__0009_ch2.tif,,,61,800,800,0.45,0.397747634694253,0.397747634694253,36,61,26,16640000,3301476,0.198406009615385,19.8406009615385,1184625.41861569,235036.802196494,0.198406009615385,19.8406009615385
16,/media/cudmore/data1/san-density/SAN7/SAN7_mid/aicsAnalysis/20201202__0010_ch2.tif,,,48,800,800,0.45,0.397747634694253,0.397747634694253,16,33,18,11520000,1149212,0.099757986111111,9.97579861111111,820125.289810863,81814.0472703231,0.099757986111111,9.97579861111111
17,/media/cudmore/data1/san-density/SAN7/SAN7_mid/aicsAnalysis/20201202__0011_ch2.tif,,,81,800,800,0.45,0.397747634694253,0.397747634694253,26,51,26,16640000,3844714,0.231052524038462,23.1052524038462,1184625.41861569,273710.693011274,0.231052524038462,23.1052524038461
18,/media/cudmore/data1/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0003_ch2.tif,,,78,800,800,0.45,0.397747634694253,0.397747634694253,36,55,20,12800000,1281674,0.10013078125,10.013078125,911250.32201207,91244.2066573827,0.10013078125,10.013078125
19,/media/cudmore/data1/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0004_ch2.tif,,,67,800,800,0.45,0.397747634694253,0.397747634694253,13,46,34,21760000,2443950,0.112313878676471,11.2313878676471,1549125.54742052,173988.298787609,0.112313878676471,11.2313878676471
20,/media/cudmore/data1/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0005_ch2.tif,,,125,800,800,0.45,0.397747634694253,0.397747634694253,11,24,14,8960000,994215,0.110961495535714,11.0961495535714,637875.225408449,70779.5889765024,0.110961495535714,11.0961495535714
21,/media/cudmore/data1/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0006_ch2.tif,SAN7,tail,81,800,800,0.45,0.397747634694253,0.397747634694253,23,55,33,21120000,2834010,0.134186079545455,13.4186079545455,1503563.03131992,201757.228522299,0.134186079545455,13.4186079545455
22,/media/cudmore/data1/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0007_ch2.tif,,,86,800,800,0.45,0.397747634694253,0.397747634694253,20,52,33,21120000,2596735,0.12295146780303,12.295146780303,1503563.03131992,184865.281635157,0.12295146780303,12.295146780303
