,path,SAN,headMidTail,zPixels,xPixels,yPixels,zVoxel,xVoxel,yVoxel,maskStart,maskStop,numGoodSlices,totalNumPixels,numPixelsInMask,maskRatio,maskPercent,totalVolume,vPixelsInMask,vMaskRatio,vMaskPercent
0,/media/cudmore/data1/san-density/SAN1/SAN1_head/aicsAnalysis/SAN1_head_ch2.tif,SAN1,head,88,1480,1480,1,0.397747634694253,0.397747634694253,18,39,22,48188800,10243476,0.212569642738562,21.2569642738562,7623621.44398876,1620550.48672273,0.212569642738562,21.2569642738562
1,/media/cudmore/data1/san-density/SAN1/SAN1_mid/aicsAnalysis/SAN1_mid_ch2.tif,SAN1,mid,88,1480,1480,1,0.397747634694253,0.397747634694253,39,66,28,61331200,9007373,0.146864450720025,14.6864450720025,9702790.92871296,1424995.06019667,0.146864450720025,14.6864450720025
2,/media/cudmore/data1/san-density/SAN1/SAN1_tail/aicsAnalysis/SAN1_tail_ch2.tif,SAN1,tail,96,1480,1480,1,0.397747634694253,0.397747634694253,32,56,25,54760000,10409208,0.190087801314828,19.0087801314828,8663206.18635086,1646769.81630045,0.190087801314828,19.0087801314828
3,/media/cudmore/data1/san-density/SAN2/SAN2_head/aicsAnalysis/SAN2_head_ch2.tif,SAN2,head,72,1480,1480,1,0.397747634694253,0.397747634694253,17,39,23,50379200,14185258,0.281569735128783,28.1569735128783,7970149.69144279,2244152.9375563,0.281569735128783,28.1569735128783
4,/media/cudmore/data1/san-density/SAN2/SAN2_mid/aicsAnalysis/SAN2_mid_ch2.tif,SAN2,mid,72,1480,1480,1,0.397747634694253,0.397747634694253,49,64,16,35046400,6740187,0.192321807660701,19.2321807660701,5544451.95926455,1066319.02329368,0.192321807660701,19.2321807660701
5,/media/cudmore/data1/san-density/SAN2/SAN2_tail/aicsAnalysis/SAN2_tail_ch2.tif,SAN2,tail,73,1480,1480,1,0.397747634694253,0.397747634694253,26,44,19,41617600,8611924,0.206929856599131,20.6929856599131,6584036.70162665,1362433.77051102,0.206929856599131,20.6929856599131
6,/media/cudmore/data1/san-density/SAN3/SAN3_head/aicsAnalysis/SAN3_head_ch2.tif,SAN3,head,83,948,948,1,0.621480864604179,0.621480864604179,25,43,19,17075376,2644418,0.154867336449868,15.4867336449868,6595167.01671873,1021375.94932125,0.154867336449868,15.4867336449868
7,/media/cudmore/data1/san-density/SAN3/SAN3_mid/aicsAnalysis/SAN3_mid_ch2.tif,SAN3,mid,83,948,948,1,0.621480864604179,0.621480864604179,33,42,10,8987040,972885,0.108254219409283,10.8254219409283,3471140.53511512,375765.609088807,0.108254219409283,10.8254219409283
8,/media/cudmore/data1/san-density/SAN3/SAN3_tail/aicsAnalysis/SAN3_tail_ch2.tif,SAN3,tail,77,948,948,1,0.621480864604179,0.621480864604179,21,31,11,9885744,1254088,0.126858231408784,12.6858231408784,3818254.58862663,484377.02418165,0.126858231408784,12.6858231408784
9,/media/cudmore/data1/san-density/SAN4/SAN4_head/aicsAnalysis/SAN4_head_ch2.tif,SAN4,head,104,1184,1184,1,0.497184691683343,0.497184691683343,37,59,23,32242688,7655291,0.237427195896322,23.7427195896322,7970154.4466072,1892331.42111855,0.237427195896322,23.7427195896322
