,path,SAN,headMidTail,zPixels,xPixels,yPixels,zVoxel,xVoxel,yVoxel,maskStart,maskStop,numGoodSlices,totalNumPixels,numPixelsInMask,maskRatio,maskPercent,totalVolume,vPixelsInMask,vMaskRatio,vMaskPercent
0,/media/cudmore/data/san-density/SAN1/SAN1_head/aicsAnalysis/SAN1_head_ch1.tif,SAN1,head,88,1480,1480,1,0.397747634694253,0.397747634694253,18,39,22,48188800,19894671,0.412848441961618,41.2848441961618,7623621.44398876,3147400.23525594,0.412848441961618,41.2848441961618
1,/media/cudmore/data/san-density/SAN1/SAN1_mid/aicsAnalysis/SAN1_mid_ch1.tif,SAN1,mid,88,1480,1480,1,0.397747634694253,0.397747634694253,39,66,28,61331200,15417610,0.251382819837212,25.1382819837212,9702790.92871296,2439114.94395078,0.251382819837212,25.1382819837212
2,/media/cudmore/data/san-density/SAN1/SAN1_tail/aicsAnalysis/SAN1_tail_ch2.tif,SAN1,tail,96,1480,1480,1,0.397747634694253,0.397747634694253,32,56,25,54760000,10409208,0.190087801314828,19.0087801314828,8663206.18635086,1646769.81630045,0.190087801314828,19.0087801314828
3,/media/cudmore/data/san-density/SAN2/SAN2_head/aicsAnalysis/SAN2_head_ch1.tif,SAN2,head,72,1480,1480,1,0.397747634694253,0.397747634694253,17,39,23,50379200,36806702,0.730593221011846,73.0593221011846,7970149.69144279,5822937.33501776,0.730593221011846,73.0593221011846
4,/media/cudmore/data/san-density/SAN2/SAN2_mid/aicsAnalysis/SAN2_mid_ch1.tif,SAN2,mid,72,1480,1480,1,0.397747634694253,0.397747634694253,49,64,16,35046400,17588519,0.501863786294741,50.1863786294741,5544451.95926455,2782559.6532058,0.501863786294741,50.1863786294741
5,/media/cudmore/data/san-density/SAN2/SAN2_tail/aicsAnalysis/SAN2_tail_ch1.tif,SAN2,tail,73,1480,1480,1,0.397747634694253,0.397747634694253,26,44,19,41617600,7662052,0.184106051285994,18.4106051285994,6584036.70162665,1212160.99865855,0.184106051285994,18.4106051285994
6,/media/cudmore/data/san-density/SAN3/SAN3_head/aicsAnalysis/SAN3_head_ch1.tif,SAN3,head,83,948,948,1,0.621480864604179,0.621480864604179,25,43,19,17075376,3952459,0.231471271847835,23.1471271847835,6595167.01671873,1526591.69740878,0.231471271847835,23.1471271847835
7,/media/cudmore/data/san-density/SAN3/SAN3_mid/aicsAnalysis/SAN3_mid_ch1.tif,SAN3,mid,83,948,948,1,0.621480864604179,0.621480864604179,33,42,10,8987040,3954960,0.440073706136837,44.0073706136837,3471140.53511512,1527557.67980992,0.440073706136837,44.0073706136837
8,/media/cudmore/data/san-density/SAN3/SAN3_tail/aicsAnalysis/SAN3_tail_ch1.tif,SAN3,tail,77,948,948,1,0.621480864604179,0.621480864604179,21,31,11,9885744,4538349,0.459080166348633,45.9080166348633,3818254.58862663,1752884.95170815,0.459080166348633,45.9080166348633
9,/media/cudmore/data/san-density/SAN4/SAN4_head/aicsAnalysis/SAN4_head_ch1.tif,SAN4,head,104,1184,1184,1,0.497184691683343,0.497184691683343,37,59,23,32242688,9456033,0.293276819848271,29.3276819848271,7970154.4466072,2337461.54980051,0.293276819848271,29.3276819848271
10,/media/cudmore/data/san-density/SAN4/SAN4_mid/aicsAnalysis/SAN4_mid_ch1.tif,SAN4,mid,104,1184,1184,1,0.497184691683343,0.497184691683343,69,88,20,28037120,8394429,0.299404111406592,29.9404111406592,6930569.08400626,2075040.8781389,0.299404111406592,29.9404111406592
11,/media/cudmore/data/san-density/SAN4/SAN4_tail/aicsAnalysis/SAN4_tail_ch1.tif,SAN4,tail,86,1184,1184,1,0.497184691683343,0.497184691683343,27,43,17,23831552,2781628,0.116720388164397,11.6720388164397,5890983.72140532,687597.90663257,0.116720388164397,11.6720388164397
12,/media/cudmore/data/san-density/SAN7/SAN7_head/aicsAnalysis/20201202__0001_ch1.tif,SAN7,head,101,800,800,0.45,0.397747634694253,0.397747634694253,18,50,33,21120000,9835707,0.465705823863636,46.5705823863636,1503563.03131992,700218.060231748,0.465705823863636,46.5705823863636
13,/media/cudmore/data/san-density/SAN7/SAN7_head/aicsAnalysis/20201202__0002_ch1.tif,,,130,800,800,0.45,0.397747634694253,0.397747634694253,15,47,33,21120000,6867970,0.325187973484848,32.5187973484848,1503563.03131992,488940.615161659,0.325187973484848,32.5187973484849
14,/media/cudmore/data/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0003_ch1.tif,,,78,800,800,0.45,0.397747634694253,0.397747634694253,36,55,20,12800000,3395840,0.2653,26.53,911250.32201207,241754.710429802,0.2653,26.53
15,/media/cudmore/data/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0004_ch1.tif,,,67,800,800,0.45,0.397747634694253,0.397747634694253,13,46,34,21760000,3406783,0.15656171875,15.656171875,1549125.54742052,242533.758263691,0.15656171875,15.656171875
16,/media/cudmore/data/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0005_ch1.tif,,,125,800,800,0.45,0.397747634694253,0.397747634694253,11,24,14,8960000,462867,0.051659263392857,5.16592633928571,637875.225408449,32952.1642811532,0.051659263392857,5.16592633928572
17,/media/cudmore/data/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0006_ch1.tif,SAN7,tail,81,800,800,0.45,0.397747634694253,0.397747634694253,23,55,33,21120000,5301548,0.251020265151515,25.1020265151515,1503563.03131992,377424.790793941,0.251020265151515,25.1020265151515
18,/media/cudmore/data/san-density/SAN7/SAN7_tail/aicsAnalysis/20201202__0007_ch1.tif,,,86,800,800,0.45,0.397747634694253,0.397747634694253,20,52,33,21120000,2535691,0.120061126893939,12.0061126893939,1503563.03131992,180519.471896337,0.120061126893939,12.0061126893939
