path,fileNameBase,f3_param,medianKernelSize,removeSmallerThan,analysisDate,analysisTime,channel,tiffHeader,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,firstSlice,lastSlice,zFinalPixel,xFinalPixel,yFinalPixel,saveBase,algorithm,gaussianKernelSize,removeBelowThisPercent,thresholdAlgorithm
,20200717__A01_G001_0018_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:50,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0018_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0018_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0018_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0019_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:50,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0019_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0019_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0019_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0020_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:58:58,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0020_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0020_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0020_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0022_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:04,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0022_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0022_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0022_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0023_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:09,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0023_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0023_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0023_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0024_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:10,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0024_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0024_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0024_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0025_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:10,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0025_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0025_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0025_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0026_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:11,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0026_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0026_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0026_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0027_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:14,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0027_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0027_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0027_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0029_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:18,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0029_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0029_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0029_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0030_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:27,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0030_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0030_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0030_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0031_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:30,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0031_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0031_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0031_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0032_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:30,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0032_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0032_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0032_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0034_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:30,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0034_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0034_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0034_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0035_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:31,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0035_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0035_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0035_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
,20200717__A01_G001_0038_ch1,"[[3, 0.001], [5, 0.001], [7, 0.001]]","(2, 2, 2)",400,20200811,09:59:33,1,"OrderedDict([('enclosingFolder3', 'ThreeRed'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0038_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Volumes/ThreeRed/nathan/20200717/20200717__A01_G001_0038_ch1.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Volumes/ThreeRed/nathan/20200717/aicsAnalysis/20200717__A01_G001_0038_ch1,cellDen,"(1, 1, 1)",0.1,threshold_remove_lower_percent
