index,uAnalysisPath,uFilename,uInclude,uFirstSlice,uLastSlice,uNumSlices,notes
0,/Volumes/ThreeRed/nathan/20200722/aicsAnalysis,20200722__A01_G001_0001,,,,,
1,,20200722__A01_G001_0002,,,,,
2,,20200722__A01_G001_0003,,,,,
3,,20200722__A01_G001_0004,,,,,
4,,20200722__A01_G001_0005,,,,,
5,,20200722__A01_G001_0006,,,,,
6,,20200722__A01_G001_0007,,,,,
7,,20200722__A01_G001_0008,,,,,
8,,20200722__A01_G001_0009,,,,,
9,,20200722__A01_G001_0010,,,,,
10,,20200722__A01_G001_0011,,,,,
11,,20200722__A01_G001_0012,,,,,
12,,20200722__A01_G001_0013,,,,,
13,,20200722__A01_G001_0014,,,,,
14,,20200722__A01_G001_0015,,,,,
15,,20200722__A01_G001_0016,,,,,
16,,20200722__A01_G001_0017,,,,,
17,,20200722__A01_G001_0018,,,,,
18,,20200722__A01_G001_0019,,,,,
19,,20200722__A01_G001_0020,,,,,
20,,20200722__A01_G001_0021,,,,,
21,,20200722__A01_G001_0022,,,,,
22,,20200722__A01_G001_0023,,,,,
23,,20200722__A01_G001_0024,,,,,
24,,20200722__A01_G001_0025,,,,,
25,,20200722__A01_G001_0026,,,,,
26,,20200722__A01_G001_0027,,,,,
27,,20200722__A01_G001_0028,,,,,
28,,20200722__A01_G001_0029,,,,,
29,,20200722__A01_G001_0030,,,,,
30,,20200722__A01_G001_0031,,,,,
31,,20200722__A01_G001_0032,,,,,
32,,20200722__A01_G001_0033,,,,,
33,,20200722__A01_G001_0034,,,,,
34,,20200722__A01_G001_0035,,,,,
35,,20200722__A01_G001_0036,,,,,
36,,20200722__A01_G001_0037,,,,,
37,,20200722__A01_G001_0038,,,,,
38,,20200722__A01_G001_0039,,,,,
39,,20200722__A01_G001_0040,,,,,
40,,20200722__A01_G001_0041,,,,,
41,,20200722__A01_G001_0042,,,,,
42,,20200722__A01_G001_0043,,,,,
43,,20200722__A01_G001_0044,,,,,
44,,20200722__A01_G001_0045,,,,,
45,,20200722__A01_G001_0046,,,,,
46,,20200722__A01_G001_0047,,,,,
47,,20200722__A01_G001_0048,,,,,
48,,20200722__A01_G001_0049,,,,,
49,,20200722__A01_G001_0050,,,,,
50,,20200722__A01_G001_0051,,,,,
51,,20200722__A01_G001_0052,,,,,
52,,20200722__A01_G001_0053,,,,,
53,,20200722__A01_G001_0054,,,,,
54,,20200722__A01_G001_0055,,,,,
