path,fileNameBase,f3_param,medianKernelSize,removeBelowThisPercent,removeSmallerThan,analysisDate,analysisTime,channel,tiffHeader,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,firstSlice,lastSlice,zFinalPixel,xFinalPixel,yFinalPixel,saveBase
,20200724__A01_G001_0011_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:09:08,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0011_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0011_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0011_ch2
,20200724__A01_G001_0012_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:09:09,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0012_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0012_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0012_ch2
,20200724__A01_G001_0013_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:11:22,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0013_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0013_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0013_ch2
,20200724__A01_G001_0014_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:11:43,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0014_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0014_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0014_ch2
,20200724__A01_G001_0015_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:11:44,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0015_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0015_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0015_ch2
,20200724__A01_G001_0016_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:13:52,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0016_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0016_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0016_ch2
,20200724__A01_G001_0017_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:13:54,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0017_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0017_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0017_ch2
,20200724__A01_G001_0018_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:14:25,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0018_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0018_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0018_ch2
,20200724__A01_G001_0019_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:16:04,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0019_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0019_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0019_ch2
,20200724__A01_G001_0020_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,12:16:37,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200724'), ('filename', '20200724__A01_G001_0020_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 73), ('path', '/Users/cudmore/data/20200724/20200724__A01_G001_0020_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,73,800,800,,,73,740,740,/Users/cudmore/data/20200724/aicsAnalysis/20200724__A01_G001_0020_ch2
