path,fileNameBase,f3_param,medianKernelSize,removeBelowThisPercent,removeSmallerThan,analysisDate,analysisTime,channel,tiffHeader,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,firstSlice,lastSlice,zFinalPixel,xFinalPixel,yFinalPixel,saveBase
,20200717__A01_G001_0001_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,22:07:31,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0001_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Users/cudmore/data/20200717/20200717__A01_G001_0001_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Users/cudmore/data/20200717/aicsAnalysis/20200717__A01_G001_0001_ch2
,20200717__A01_G001_0002_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,22:07:31,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0002_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Users/cudmore/data/20200717/20200717__A01_G001_0002_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Users/cudmore/data/20200717/aicsAnalysis/20200717__A01_G001_0002_ch2
,20200717__A01_G001_0003_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,22:07:31,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0003_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Users/cudmore/data/20200717/20200717__A01_G001_0003_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Users/cudmore/data/20200717/aicsAnalysis/20200717__A01_G001_0003_ch2
,20200717__A01_G001_0004_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,22:10:47,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0004_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Users/cudmore/data/20200717/20200717__A01_G001_0004_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Users/cudmore/data/20200717/aicsAnalysis/20200717__A01_G001_0004_ch2
,20200717__A01_G001_0005_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,22:10:49,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0005_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Users/cudmore/data/20200717/20200717__A01_G001_0005_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Users/cudmore/data/20200717/aicsAnalysis/20200717__A01_G001_0005_ch2
,20200717__A01_G001_0006_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,22:10:50,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0006_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Users/cudmore/data/20200717/20200717__A01_G001_0006_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Users/cudmore/data/20200717/aicsAnalysis/20200717__A01_G001_0006_ch2
,20200717__A01_G001_0007_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,22:13:54,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0007_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Users/cudmore/data/20200717/20200717__A01_G001_0007_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Users/cudmore/data/20200717/aicsAnalysis/20200717__A01_G001_0007_ch2
,20200717__A01_G001_0008_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,22:13:55,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0008_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Users/cudmore/data/20200717/20200717__A01_G001_0008_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Users/cudmore/data/20200717/aicsAnalysis/20200717__A01_G001_0008_ch2
,20200717__A01_G001_0009_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,22:13:58,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0009_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Users/cudmore/data/20200717/20200717__A01_G001_0009_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Users/cudmore/data/20200717/aicsAnalysis/20200717__A01_G001_0009_ch2
,20200717__A01_G001_0010_ch2,"[[5, 0.001], [8, 0.001]]","(2, 2, 2)",0.09,2200,20200817,22:17:02,2,"OrderedDict([('enclosingFolder3', 'cudmore'), ('enclosingFolder2', 'data'), ('enclosingFolder1', '20200717'), ('filename', '20200717__A01_G001_0010_ch2.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 88), ('path', '/Users/cudmore/data/20200717/20200717__A01_G001_0010_ch2.tif')])",1,0.3977476346942534,0.3977476346942534,88,800,800,,,88,740,740,/Users/cudmore/data/20200717/aicsAnalysis/20200717__A01_G001_0010_ch2
